,VLM1 -   15.0Â°-10.00m/s, , 
   -0.8477511,     0.3579986, , 
   -0.8389088,     0.7838959, , 
   -0.8218267,     0.9729213, , 
    -0.797669,       1.03824, , 
   -0.7680821,      1.066247, , 
   -0.7350821,      1.078316, , 
   -0.7171637,        1.0812, , 
   -0.7138291,      1.085799, , 
   -0.7072019,      1.090725, , 
   -0.6973653,      1.095587, , 
   -0.6844432,      1.100523, , 
   -0.6685979,      1.104867, , 
   -0.6500288,      1.108037, , 
   -0.6289693,      1.109662, , 
   -0.6056844,      1.109553, , 
   -0.5804668,      1.107655, , 
   -0.5536337,      1.104021, , 
   -0.5255224,      1.098767, , 
   -0.4964866,      1.091994, , 
   -0.4668913,       1.08342, , 
   -0.4511606,      1.076216, , 
   -0.4478135,      1.078587, , 
   -0.4411613,      1.079341, , 
   -0.4312878,      1.078606, , 
    -0.418317,      1.076563, , 
   -0.4024122,      1.073136, , 
   -0.3837733,      1.068272, , 
   -0.3626346,      1.061965, , 
   -0.3392622,      1.054248, , 
   -0.3139498,      1.045201, , 
   -0.2870157,      1.034984, , 
   -0.2587988,      1.023882, , 
   -0.2296538,      1.012333, , 
   -0.1999473,      0.999106, , 
   -0.1713805,     0.9407847, , 
   -0.1248805,      0.791059, , 
  -0.07852691,     0.6871859, , 
  -0.03252691,     0.6123785, , 
   0.03252691,     0.6123785, , 
   0.07852691,     0.6871859, , 
    0.1248805,      0.791059, , 
    0.1713805,     0.9407847, , 
    0.1999473,      0.999106, , 
    0.2296538,      1.012333, , 
    0.2587988,      1.023882, , 
    0.2870157,      1.034984, , 
    0.3139498,      1.045201, , 
    0.3392622,      1.054248, , 
    0.3626346,      1.061965, , 
    0.3837733,      1.068272, , 
    0.4024122,      1.073136, , 
     0.418317,      1.076563, , 
    0.4312878,      1.078606, , 
    0.4411613,      1.079341, , 
    0.4478135,      1.078587, , 
    0.4511606,      1.076216, , 
    0.4668913,       1.08342, , 
    0.4964866,      1.091994, , 
    0.5255224,      1.098767, , 
    0.5536337,      1.104021, , 
    0.5804668,      1.107655, , 
    0.6056844,      1.109553, , 
    0.6289693,      1.109662, , 
    0.6500288,      1.108037, , 
    0.6685979,      1.104867, , 
    0.6844432,      1.100523, , 
    0.6973653,      1.095587, , 
    0.7072019,      1.090725, , 
    0.7138291,      1.085799, , 
    0.7171637,        1.0812, , 
    0.7350821,      1.078316, , 
    0.7680821,      1.066247, , 
     0.797669,       1.03824, , 
    0.8218267,     0.9729213, , 
    0.8389088,     0.7838959, , 
    0.8477511,     0.3579986, , 

